#OTU ID,MAST-1D,MAST-8,MAST-7,Pavlovophyceae,Vp5virus,Codosigidae,Dolichomastigaceae,Pycnococcaceae,Stephanoecidae,Prasinococcaceae,Bpp1virus,P70virus,P12002virus,Slashvirus,Nephroselmidales,Ceratiaceae,M12virus,Syndiniales_Group_III,Thoracosphaeraceae,Thraustochytriaceae,Salpingoecidae,MAST-11,Cba41virus,P12024virus,Picomonadida,Capsasporidae,Chlorarachniaceae,Lambdavirus,MAST-7D,Centrohelida,Thecofilosea,Cymatosiraceae,Gymnodinium_clade,Picozoa,Picomonadidae,Marimonadida,Prymnesiophyceae,MAST-7B,MAST-4,Gymnodiniphycidae,Bacillariophyceae,Novel_Clade_2,Thaumatomonadida,Prymnesiales,Protaspidae,Chrysochromulinaceae,Chroomonadaceae,Chlorarachniophyta,Kareniaceae,Rhizosolenids,T4virus,Trebouxiophyceae,Syndiniales_Group_I,Mamiellaceae,Syndiniales_Group_II,Syndiniales,Mediophyceae
MAST-1D,1,0.6684,0.3197,0.4626,0.2868,0.3754,0.5865,0.3607,0.7694,0.6015,0.5735,0.8322,0.4499,0.5775,0.4456,0.9719,0.2968,0.4546,0.5406,0.6845,0.5935,0.8575,0.5345,0.4017,0.5605,0.6514,0.882,0.1737,0.8931,0.5635,0.4636,0.8399,0.7965,0.187,0.6964,0.4117,0.9464,0.6585,0.9212,0.9062,0.6015,0.8162,0.6874,0.1205,0.6784,0.1768,0.4926,0.6814,0.5925,0.4626,0.7573,0.6525,0.6764,0.7503,0.7852,0.6484,0.6355
MAST-8,0.6684,1,0.16,0.1248,0.3588,0.3691,0.7064,0.5236,0.4536,0.6704,0.2129,0.5715,0.3197,0.4437,0.9482,0.5335,0.2449,0.7593,0.835,0.8755,0.2129,0.9714,0.1988,0.1195,0.5256,0.3048,0.5516,0.5266,0.2338,0.7364,0.2099,0.5635,0.5725,0.6514,0.1205,0.218,0.4377,0.2119,0.5985,0.6625,0.3188,0.4247,0.2988,0.9628,0.2419,0.8081,0.1237,0.184,0.2679,0.3467,0.7224,0.2658,0.4746,0.3568,0.3228,0.2379,0.4017
MAST-7,0.3197,0.16,1,0.3704,0.5373,0.6606,0.7748,0.5579,0.5144,0.86,0.5291,0.7544,0.2223,0.4484,0.4771,0.6696,0.362,0.765,0.9254,0.9444,0.3823,0.7039,0.4085,0.2749,0.5995,0.3955,0.7254,0.2574,0.421,0.8345,0.2801,0.6828,0.65,0.8225,0.2206,0.6236,0.0556,0.3387,0.8851,0.7104,0.4446,0.4811,0.3846,0.1279,0.3275,0.8001,0.2801,0.3429,0.2945,0.6084,0.8887,0.3297,0.4837,0.6932,0.6948,0.3089,0.4849
Pavlovophyceae,0.4626,0.1248,0.3704,1,0.3727,0.1636,0.2818,0.3318,0.6205,0.2459,0.0737,0.8399,0.1134,0.076,0.4586,0.1708,0.1418,0.3597,0.6255,0.6045,0.1363,0.5335,0.0857,0.0874,0.4287,0.0699,0.2119,0.1302,0.0892,0.6894,0.1103,0.2379,0.184,0.5695,0.2249,0.1014,0.2648,0.127,0.3348,0.1708,0.1281,0.187,0.1046,0.881,0.1147,0.166,0.5895,0.1718,0.5885,0.1372,0.2808,0.1323,0.4047,0.2759,0.1391,0.1428,0.112
Vp5virus,0.2868,0.3588,0.5373,0.3727,1,0.1661,0.4437,0.2518,0.7384,0.1641,0.3457,0.6275,0.6072,0.3707,0.7364,0.3228,0.6774,0.184,0.2568,0.3268,0.3308,0.5835,0.4906,0.6744,0.4506,0.2638,0.3827,0.3248,0.5056,0.4486,0.3178,0.3138,0.2638,0.4387,0.6375,0.5975,0.6794,0.3897,0.9722,0.1292,0.3637,0.3188,0.2808,0.7802,0.3467,0.9399,0.8246,0.6035,0.7474,0.5076,0.6535,0.2689,0.5875,0.215,0.5016,0.3538,0.2828
Codosigidae,0.3754,0.3691,0.6606,0.1636,0.1661,1,0.2032,0.2775,0.7765,0.2676,0.1651,0.7225,0.365,0.2676,0.7561,0.135,0.3805,0.3895,0.3563,0.342,0.3321,0.7092,0.2299,0.2191,0.3209,0.1884,0.4986,0.6247,0.3889,0.5463,0.2801,0.2714,0.2219,0.5035,0.421,0.2919,0.1158,0.2729,0.8148,0.1884,0.2245,0.2378,0.225,0.8001,0.2666,0.2126,0.7803,0.3704,0.6979,0.2932,0.9444,0.2775,0.4893,0.6124,0.3132,0.2865,0.2696
Dolichomastigaceae,0.5865,0.7064,0.7748,0.2818,0.4437,0.2032,1,0.3617,0.8656,0.1708,0.2348,0.4007,0.329,0.1819,0.7852,0.2058,0.2558,0.4067,0.2828,0.218,0.4117,0.4586,0.4017,0.4037,0.3377,0.2868,0.3417,0.9722,0.4187,0.3098,0.3707,0.2668,0.2608,0.1959,0.6894,0.3647,0.4087,0.4427,0.3427,0.2119,0.3248,0.3407,0.2998,0.4227,0.3797,0.215,0.9722,0.5355,0.7434,0.3737,0.5645,0.3697,0.5735,0.3917,0.4027,0.4137,0.3348
Pycnococcaceae,0.3607,0.5236,0.5579,0.3318,0.2518,0.2775,0.3617,1,0.6914,0.4996,0.2449,0.9416,0.4883,0.3437,0.2978,0.2548,0.6235,0.4207,0.5965,0.4407,0.5555,0.14,0.5615,0.5456,0.4347,0.3827,0.1205,0.2399,0.7724,0.7384,0.3128,0.3318,0.2958,0.5335,0.5845,0.5635,0.0865,0.4996,0.2658,0.2479,0.3977,0.4167,0.4447,0.7523,0.4257,0.2548,0.7354,0.7054,0.7394,0.4596,0.5156,0.3078,0.6714,0.184,0.7753,0.3917,0.4297
Stephanoecidae,0.7694,0.4536,0.5144,0.6205,0.7384,0.7765,0.8656,0.6914,1,0.9416,0.4996,0.6855,0.4729,0.5795,0.8111,0.7283,0.3887,0.9408,0.6694,0.7503,0.4706,0.9526,0.5496,0.3647,0.5516,0.5385,0.9494,0.3367,0.5885,0.5675,0.3887,0.7434,0.7654,0.9023,0.4257,0.4646,0.9107,0.3917,0.8399,0.7852,0.5645,0.6414,0.5506,0.187,0.4476,0.836,0.1978,0.4187,0.7354,0.5466,0.6155,0.4367,0.6255,0.7783,0.6315,0.4646,0.6494
Prasinococcaceae,0.6015,0.6704,0.86,0.2459,0.1641,0.2676,0.1708,0.4996,0.9416,1,0.2598,0.4516,0.4552,0.3098,0.6884,0.1949,0.3467,0.4317,0.2749,0.2948,0.4247,0.7164,0.3528,0.3877,0.4476,0.3348,0.4357,0.6994,0.3797,0.3498,0.4476,0.3168,0.2868,0.1737,0.6484,0.4017,0.4437,0.4696,0.4187,0.1829,0.2628,0.3118,0.3338,0.1457,0.3538,0.2089,0.9722,0.5216,0.8204,0.3727,0.6555,0.3977,0.5385,0.4227,0.4027,0.3877,0.3058
